,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
82,block,6,14,True,True,-0.8670480896671758,9.0,two-sided,0.4084371522341951,1.0,bonf,0.422,-0.18842431060348286
83,block,6,15,True,True,0.3094263738776382,9.0,two-sided,0.7640411601082999,1.0,bonf,0.322,0.10598103321613962
84,block,7,8,True,True,1.0650284735642028,9.0,two-sided,0.3146004390341665,1.0,bonf,0.49,0.45535135946025823
85,block,7,9,True,True,-1.064422635174157,9.0,two-sided,0.3148602411389574,1.0,bonf,0.489,-0.3980683711684268
86,block,7,10,True,True,-0.1501388241712059,9.0,two-sided,0.8839659979903968,1.0,bonf,0.312,-0.05071500470898278
87,block,7,11,True,True,-2.3198313576494094,9.0,two-sided,0.04549836748921203,1.0,bonf,1.893,-0.47516085173707673
88,block,7,12,True,True,-0.8864653961928839,9.0,two-sided,0.3984344452894176,1.0,bonf,0.427,-0.4057780836525165
89,block,7,13,True,True,0.026646234754592647,9.0,two-sided,0.9793233800980469,1.0,bonf,0.309,0.00478363772792266
90,block,7,14,True,True,-1.568747266142746,9.0,two-sided,0.15115211465074369,1.0,bonf,0.788,-0.2684919709363941
91,block,7,15,True,True,-0.12062850680782483,9.0,two-sided,0.906635389463234,1.0,bonf,0.311,-0.0364569040902482
92,block,8,9,True,True,-3.5160966911309193,9.0,two-sided,0.006555514596549114,0.7866617515858937,bonf,8.708,-1.1466187920228368
93,block,8,10,True,True,-2.5826545321693164,9.0,two-sided,0.029567590527268005,1.0,bonf,2.636,-0.6430413141310555
94,block,8,11,True,True,-2.9401911591380347,9.0,two-sided,0.0164816130357498,1.0,bonf,4.165,-1.1916745151948802
95,block,8,12,True,True,-3.5289737500110596,9.0,two-sided,0.006424284911566987,0.7709141893880385,bonf,8.852,-1.1973227780222127
96,block,8,13,True,True,-1.3173630244323145,9.0,two-sided,0.22026662905752267,1.0,bonf,0.612,-0.46024970760808515
97,block,8,14,True,True,-2.341647087296017,9.0,two-sided,0.043901681514336766,1.0,bonf,1.946,-0.8924939904739414
98,block,8,15,True,True,-1.506672865984213,9.0,two-sided,0.16616126240197832,1.0,bonf,0.739,-0.5314861775424082
99,block,9,10,True,True,1.2949836261035148,9.0,two-sided,0.22755810206064533,1.0,bonf,0.599,0.4886339763364445
100,block,9,11,True,True,-0.40770268088137845,9.0,two-sided,0.6930196830942377,1.0,bonf,0.332,-0.14895832260542544
101,block,9,12,True,True,0.017516027199001645,9.0,two-sided,0.9864071122661872,1.0,bonf,0.309,0.008328667600697367
102,block,9,13,True,True,1.1493915422653815,9.0,two-sided,0.28002161548096394,1.0,bonf,0.526,0.41620940152504143
103,block,9,14,True,True,0.4455493316556618,9.0,two-sided,0.6664472983347096,1.0,bonf,0.336,0.1455107584558558
104,block,9,15,True,True,1.0758625911149757,9.0,two-sided,0.30998232489004846,1.0,bonf,0.494,0.38960206674465264
105,block,10,11,True,True,-2.227622702245981,9.0,two-sided,0.05290170918726913,1.0,bonf,1.689,-0.5788543131892468
106,block,10,12,True,True,-1.652408430675064,9.0,two-sided,0.1328432237662051,1.0,bonf,0.862,-0.5139030276706441
107,block,10,13,True,True,0.24002133617819896,9.0,two-sided,0.8156912984931171,1.0,bonf,0.317,0.05779646463907159
108,block,10,14,True,True,-1.022019940339814,9.0,two-sided,0.3334564347422369,1.0,bonf,0.473,-0.28825404410344774
109,block,10,15,True,True,0.04624148705148547,9.0,two-sided,0.9641275817696855,1.0,bonf,0.309,0.010200278662669362
110,block,11,12,True,True,0.3750000000000002,9.0,two-sided,0.7163448902227335,1.0,bonf,0.328,0.16788866767677174
111,block,11,13,True,True,2.363459352676324,9.0,two-sided,0.042360571007681785,1.0,bonf,1.999,0.494199438107328
112,block,11,14,True,True,1.8090680674665818,9.0,two-sided,0.1038881310621017,1.0,bonf,1.027,0.2589521581320115
113,block,11,15,True,True,1.6521456936774055,9.0,two-sided,0.13289744144332105,1.0,bonf,0.862,0.4725765284759351
114,block,12,13,True,True,1.0680944092207048,9.0,two-sided,0.31328820686459113,1.0,bonf,0.491,0.42514740301554377
115,block,12,14,True,True,0.33752637027780724,9.0,two-sided,0.7434589072893496,1.0,bonf,0.324,0.14797583525151137
116,block,12,15,True,True,1.0453666236753147,9.0,two-sided,0.323116622833027,1.0,bonf,0.482,0.3992655121145603
117,block,13,14,True,True,-1.7596017161672481,9.0,two-sided,0.11233270863150137,1.0,bonf,0.971,-0.2808996290630369
118,block,13,15,True,True,-0.16058631827165665,9.0,two-sided,0.8759659087784055,1.0,bonf,0.312,-0.04224895293158656
119,block,14,15,True,True,0.8852019811927202,9.0,two-sided,0.3990799828269467,1.0,bonf,0.427,0.24673933345968743
