agent,expName,group,model,value,param,param2
6165e6f471254e3af05c5057,FullPilot12,random,log-ratio,0.7359690961660732,$\beta_P$,beta_ff
6165e6f471254e3af05c5057,FullPilot12,random,log-ratio,0.20090337824075988,$\beta_V$,beta_ss
6165e6f471254e3af05c5057,FullPilot12,random,log-ratio,0.07275626225466841,$\lambda$,leak
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,log-ratio,99.99999999996444,$\beta_P$,beta_ff
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,log-ratio,1.004755892923363,$\beta_V$,beta_ss
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,log-ratio,0.36056359414569306,$\lambda$,leak
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,log-ratio,99.9580878530629,$\beta_P$,beta_ff
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,log-ratio,1.6925965933129135,$\beta_V$,beta_ss
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,log-ratio,0.0762843586532399,$\lambda$,leak
63626fe174f7db263a4aa8f2,FullPilot12,random,log-ratio,99.9937014579773,$\beta_P$,beta_ff
63626fe174f7db263a4aa8f2,FullPilot12,random,log-ratio,1.688003539612737e-05,$\beta_V$,beta_ss
63626fe174f7db263a4aa8f2,FullPilot12,random,log-ratio,0.999999831199646,$\lambda$,leak
6167175ed1680ecefc063aed,FullPilot12,perceptual,log-ratio,99.29787821247592,$\beta_P$,beta_ff
6167175ed1680ecefc063aed,FullPilot12,perceptual,log-ratio,4.979519265069385,$\beta_V$,beta_ss
6167175ed1680ecefc063aed,FullPilot12,perceptual,log-ratio,0.029501970558601875,$\lambda$,leak
66bb5ad727c62d0960db333c,FullPilot12,perceptual,log-ratio,99.99999947845936,$\beta_P$,beta_ff
66bb5ad727c62d0960db333c,FullPilot12,perceptual,log-ratio,4.224242725968352,$\beta_V$,beta_ss
66bb5ad727c62d0960db333c,FullPilot12,perceptual,log-ratio,5.21540644005114e-09,$\lambda$,leak
64db80772c860983ea3a7310,FullPilot12,random,log-ratio,99.99999998966233,$\beta_P$,beta_ff
64db80772c860983ea3a7310,FullPilot12,random,log-ratio,71.8275010233745,$\beta_V$,beta_ss
64db80772c860983ea3a7310,FullPilot12,random,log-ratio,0.9993175509143621,$\lambda$,leak
657b6239aa8091bfa2b24ae0,FullPilot12,perceptual,log-ratio,99.99998311996461,$\beta_P$,beta_ff
657b6239aa8091bfa2b24ae0,FullPilot12,perceptual,log-ratio,9.906340599060051,$\beta_V$,beta_ss
