agent,model,omega,beta,ll,group,ntrials,exp,prolificID,param,value
628d78a2ccf4a41f24c2d2d8,map,0.7002865418071451,9.978816782240756,57.75415067306063,combined,316,FullPilot14,628d78a2ccf4a41f24c2d2d8,omega,0.7002865418071451
63ae2788c3e5ec6d1cfcad16,map,1.9073486334786338e-07,0.18932342529296875,118.20919099926414,random,311,FullPilot14,63ae2788c3e5ec6d1cfcad16,omega,1.9073486334786338e-07
67579b182f3a6e41fb761791,map,0.9285079956054687,36.7388916015625,51.58615021208255,combined,316,FullPilot14,67579b182f3a6e41fb761791,omega,0.9285079956054687
67594446e891cd9a76235f36,map,0.9999999999534338,28.09120239689946,103.73189603739917,perceptual,308,FullPilot14,67594446e891cd9a76235f36,omega,0.9999999999534338
66978d2616be96682f9f87ed,map,0.9318107604980468,39.16015625,41.2760163131099,combined,315,FullPilot14,66978d2616be96682f9f87ed,omega,0.9318107604980468
6759a46833a61fefe76b05ba,map,0.7386230468749999,0.0,116.44872630047057,random,311,FullPilot14,6759a46833a61fefe76b05ba,omega,0.7386230468749999
66b0c677fd6d5746c4c5fd36,map,0.9304052360355853,5.070886015892029,115.41157817453278,perceptual,316,FullPilot14,66b0c677fd6d5746c4c5fd36,omega,0.9304052360355853
57d810f1813eb30001825b65,map,0.8886690528326653,21.55134477354295,58.27623066922178,combined,315,FullPilot14,57d810f1813eb30001825b65,omega,0.8886690528326653
6746499fde684b081912c056,map,0.9999998092651367,4.244136810302734,88.33971820988509,perceptual,319,FullPilot14,6746499fde684b081912c056,omega,0.9999998092651367
651b075a8bfaebfd2f74e195,map,0.9875406265258788,33.77006530761719,55.358755660264585,perceptual,314,FullPilot14,651b075a8bfaebfd2f74e195,omega,0.9875406265258788
5f3227893ca51916b4ff6d9d,map,0.7700388357043266,7.482334673404694,88.10780002432705,combined,316,FullPilot14,5f3227893ca51916b4ff6d9d,omega,0.7700388357043266
66569098a6bf70f056e8f1d0,map,0.6001693487167359,5.758299827575684,87.4755299682804,combined,310,FullPilot14,66569098a6bf70f056e8f1d0,omega,0.6001693487167359
