,agent,model,omega,beta,ll,group,ntrials,exp,prolificID
198,664a7e1665f30b00d2685ba3,map,0.7137331597507,1.269725263118744,90.31908646274174,perceptual,287,FullPilot12,664a7e1665f30b00d2685ba3
199,664a7e1665f30b00d2685ba3,value,0.9994995236396789,444.2291831970215,99.33698144751168,perceptual,287,FullPilot12,664a7e1665f30b00d2685ba3
200,664a7e1665f30b00d2685ba3,perceptual,0.10415573120117194,8.28369140625,91.41962274958172,perceptual,287,FullPilot12,664a7e1665f30b00d2685ba3
201,66e7d7caa4a0195186f6692f,map,0.41539327390491965,0.32385004684329033,98.50745350272297,random,283,FullPilot13,66e7d7caa4a0195186f6692f
202,66e7d7caa4a0195186f6692f,value,0.9995620727539062,420.96284210681915,98.81992322975934,random,283,FullPilot13,66e7d7caa4a0195186f6692f
203,66e7d7caa4a0195186f6692f,perceptual,0.00041593313217169747,313.753924369812,98.82291901067262,random,283,FullPilot13,66e7d7caa4a0195186f6692f
204,66463a2c0a36377060b1910c,map,0.7340705871582032,4.03045654296875,41.29528872459245,perceptual,288,FullPilot12,66463a2c0a36377060b1910c
205,66463a2c0a36377060b1910c,value,0.9985836029052734,315.00038146972656,98.09632812066532,perceptual,288,FullPilot12,66463a2c0a36377060b1910c
206,66463a2c0a36377060b1910c,perceptual,0.32973766326904297,8.137531280517578,44.63381044035759,perceptual,288,FullPilot12,66463a2c0a36377060b1910c
207,6087ee3e8df094dc6dd69e8e,map,0.9999998092651367,0.393829345703125,97.70241435057282,perceptual,288,FullPilot12,6087ee3e8df094dc6dd69e8e
208,6087ee3e8df094dc6dd69e8e,value,0.99998779296875,0.0,99.81319397183192,perceptual,288,FullPilot12,6087ee3e8df094dc6dd69e8e
209,6087ee3e8df094dc6dd69e8e,perceptual,0.029043579101562522,13.448486328125,97.7025003601166,perceptual,288,FullPilot12,6087ee3e8df094dc6dd69e8e
210,5a580fb6eedc320001426cd7,map,0.9052041129209101,5.430599898099899,34.558488961327136,perceptual,287,FullPilot12,5a580fb6eedc320001426cd7
211,5a580fb6eedc320001426cd7,value,0.9994987726211547,390.9889429807663,98.7704460475181,perceptual,287,FullPilot12,5a580fb6eedc320001426cd7
212,5a580fb6eedc320001426cd7,perceptual,0.5199809551239014,9.377994537353516,35.23564218127788,perceptual,287,FullPilot12,5a580fb6eedc320001426cd7
213,66fd855cf4cfd7ee139e35fd,map,1.9073486334786338e-07,4.679450988769531,43.98223108028195,value,288,FullPilot13,66fd855cf4cfd7ee139e35fd
214,66fd855cf4cfd7ee139e35fd,value,0.6876516342163086,14.953536987304688,43.98214232909789,value,288,FullPilot13,66fd855cf4cfd7ee139e35fd
215,66fd855cf4cfd7ee139e35fd,perceptual,0.0003417968750000222,121.630859375,99.79954494865044,value,288,FullPilot13,66fd855cf4cfd7ee139e35fd
216,650dcec4d9e0685d5035c13e,map,0.999994659423828,1.19232177734375,84.44664440342679,perceptual,288,FullPilot13,650dcec4d9e0685d5035c13e
217,650dcec4d9e0685d5035c13e,value,0.99998779296875,0.0,99.81319397183192,perceptual,288,FullPilot13,650dcec4d9e0685d5035c13e
218,650dcec4d9e0685d5035c13e,perceptual,0.08234589844942097,14.474944174289703,84.44663213729865,perceptual,288,FullPilot13,650dcec4d9e0685d5035c13e
219,59daff10e776fd00015ec7ec,map,0.5091285228729248,0.8830070495605469,94.34466200366077,perceptual,287,FullPilot13,59daff10e776fd00015ec7ec
220,59daff10e776fd00015ec7ec,value,0.9978746313601732,204.94996778666973,98.23557682303871,perceptual,287,FullPilot13,59daff10e776fd00015ec7ec
