temp,perceptual_temp,rl_temp,ff1,ff2,ffp1,ffp2,trial,model,agent,s,a,r,optimal_option,optimal_ev,optimal_ff,params,destroy,cumulative_reward
,5.0,5.0,-1.0,-0.8,0.11920292202211755,0.16798161486607552,46,balanced,237,1,1,0.0,False,False,True,"{'β': 1.7946067804879167, '$\\delta$': 0.24013040192368884}",False,14.95754447978767
,5.0,5.0,-0.6,0.6,0.23147521650098238,0.7685247834990175,47,balanced,237,1,1,0.30968823053665384,False,True,True,"{'β': 1.8412336213259026, '$\\delta$': 0.25406255148766205}",True,15.267232710324324
,5.0,5.0,-1.0,0.1,0.11920292202211755,0.549833997312478,48,balanced,237,1,1,0.0,False,True,True,"{'β': 1.824235550954447, '$\\delta$': 0.25406255148766205}",False,15.267232710324324
,5.0,5.0,-1.0,0.3,0.11920292202211755,0.6456563062257954,49,balanced,237,1,1,0.22461520836324206,False,True,True,"{'β': 1.857914567134916, '$\\delta$': 0.2796799204671021}",True,15.491847918687565
,10.0,1.0,-0.3,-0.1,0.35434369377420455,0.45016600268752216,0,value neglect,238,0,1,0.0,False,False,True,"{'β': 0.1980361682920751, '$\\delta$': -8.874365547163983e-05}",False,0.0
,10.0,1.0,-0.6,0.6,0.23147521650098238,0.7685247834990175,1,value neglect,238,0,1,0.18797809179190766,False,True,True,"{'β': 1.080550869473152, '$\\delta$': 0.33159556340961044}",True,0.18797809179190766
,10.0,1.0,0.6,-0.3,0.7685247834990175,0.35434369377420455,2,value neglect,238,0,0,0.8620518799079391,True,True,True,"{'β': 1.6455887665133913, '$\\delta$': 0.4994848041316942}",True,1.0500299716998467
,10.0,1.0,0.1,-0.6,0.549833997312478,0.23147521650098238,3,value neglect,238,0,0,0.0,True,True,True,"{'β': 1.5043060786997695, '$\\delta$': 0.4994848041316942}",False,1.0500299716998467
,10.0,1.0,0.8,-0.3,0.8320183851339245,0.35434369377420455,4,value neglect,238,0,0,0.7975996058665111,True,True,True,"{'β': 1.957343059812575, '$\\delta$': 0.5576978049655988}",True,1.8476295775663578
,10.0,1.0,-0.8,0.3,0.16798161486607552,0.6456563062257954,5,value neglect,238,0,1,0.0,False,True,True,"{'β': 1.5661263575317381, '$\\delta$': 0.5576978049655988}",False,1.8476295775663578
