agent,expName,group,model_original,model_fitted,value_fitted,value_original,ll,param,param2,n_param,bic,winning,p(model),p_model
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,absolute,117.4658203125,10.0,145.13191359233514,$\beta_P$,beta_ff,2,302.9760425060621,True,1.8530100066282622e-33,1.8530100066282622e-33
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute-var,absolute,751.9365234375,95.0,145.13191359233514,$\beta_V$,beta_ss,2,302.9760425060621,True,1.8530100066282622e-33,1.8530100066282622e-33
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,absolute-var,999.9999985024333,658.0,102.23595756046521,$\beta_P$,beta_ff,2,217.1841304423222,True,0.9999999999986855,0.9999999999986855
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,absolute-var,999.9999985024333,944.0,102.23595756046521,$\beta_V$,beta_ss,2,217.1841304423222,True,0.9999999999986855,0.9999999999986855
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,absolute,404.7972386102192,658.0,112.31178839263823,$\beta_P$,beta_ff,2,237.33579210666826,True,1.3145646393514363e-12,1.3145646393514363e-12
5d5b67ab9ad5a300181398dc,FullPilot12,perceptual,absolute,absolute,548.2640486785676,944.0,112.31178839263823,$\beta_V$,beta_ss,2,237.33579210666826,True,1.3145646393514363e-12,1.3145646393514363e-12
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,absolute-var,923.3721208572388,724.0,118.43879264785546,$\beta_P$,beta_ff,2,249.58980061710272,True,1.0,1.0
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,absolute-var,347.62163257598877,227.0,118.43879264785546,$\beta_V$,beta_ss,2,249.58980061710272,True,1.0,1.0
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,absolute,664.6894731521606,724.0,135.7780801495864,$\beta_P$,beta_ff,2,284.2683756205646,True,6.423784335199563e-19,6.423784335199563e-19
6165e6f471254e3af05c5057,FullPilot12,random,absolute-var,absolute,520.5668513774872,227.0,135.7780801495864,$\beta_V$,beta_ss,2,284.2683756205646,True,6.423784335199563e-19,6.423784335199563e-19
6165e6f471254e3af05c5057,FullPilot12,random,absolute,absolute-var,861.3146948919166,711.0,106.58579322061723,$\beta_P$,beta_ff,2,225.88380176262626,True,1.0,1.0
6165e6f471254e3af05c5057,FullPilot12,random,absolute,absolute-var,508.2268141177483,651.0,106.58579322061723,$\beta_V$,beta_ss,2,225.88380176262626,True,1.0,1.0
6165e6f471254e3af05c5057,FullPilot12,random,absolute,absolute,687.6123046875,711.0,128.52697002137396,$\beta_P$,beta_ff,2,269.7661553641397,True,6.496409397222104e-23,6.496409397222104e-23
6165e6f471254e3af05c5057,FullPilot12,random,absolute,absolute,484.8935546875,651.0,128.52697002137396,$\beta_V$,beta_ss,2,269.7661553641397,True,6.496409397222104e-23,6.496409397222104e-23
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute-var,absolute-var,22.90241837501526,278.0,95.27321555667294,$\beta_P$,beta_ff,2,203.25864643473767,True,1.0,1.0
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute-var,absolute-var,712.6205766201019,876.0,95.27321555667294,$\beta_V$,beta_ss,2,203.25864643473767,True,1.0,1.0
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute-var,absolute,43.3955078125,278.0,140.1464767178847,$\beta_P$,beta_ff,2,293.0051687571612,True,7.799832953476811e-43,7.799832953476811e-43
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute-var,absolute,193.4853515625,876.0,140.1464767178847,$\beta_V$,beta_ss,2,293.0051687571612,True,7.799832953476811e-43,7.799832953476811e-43
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute,absolute-var,511.4840176771395,968.0,107.27241030077832,$\beta_P$,beta_ff,2,227.25703592294843,True,1.0,1.0
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute,absolute-var,198.43893869640306,238.0,107.27241030077832,$\beta_V$,beta_ss,2,227.25703592294843,True,1.0,1.0
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute,absolute,578.1973822712898,968.0,125.48618661770908,$\beta_P$,beta_ff,2,263.68458855680996,True,1.1226704969970591e-19,1.1226704969970591e-19
66f7102d3196ce5e60b2c1bd,FullPilot12,perceptual,absolute,absolute,194.1887965798378,238.0,125.48618661770908,$\beta_V$,beta_ss,2,263.68458855680996,True,1.1226704969970591e-19,1.1226704969970591e-19
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute-var,absolute-var,760.7651138305664,755.0,137.63614870862892,$\beta_P$,beta_ff,2,287.98451273864964,True,1.0,1.0
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute-var,absolute-var,225.82758283615112,270.0,137.63614870862892,$\beta_V$,beta_ss,2,287.98451273864964,True,1.0,1.0
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute-var,absolute,602.437668171624,755.0,156.9768545783693,$\beta_P$,beta_ff,2,326.6659244781304,True,1.1732242892501543e-20,1.1732242892501543e-20
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute-var,absolute,213.84033633951913,270.0,156.9768545783693,$\beta_V$,beta_ss,2,326.6659244781304,True,1.1732242892501543e-20,1.1732242892501543e-20
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute,absolute-var,711.7104778001936,275.0,126.86912673428222,$\beta_P$,beta_ff,2,266.45046878995623,True,1.0,1.0
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute,absolute-var,919.0566725936942,361.0,126.86912673428222,$\beta_V$,beta_ss,2,266.45046878995623,True,1.0,1.0
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute,absolute,755.8349609375,275.0,148.11157813595992,$\beta_P$,beta_ff,2,308.93537159331163,True,2.6277167914610044e-22,2.6277167914610044e-22
66eeda2bc7d6e9b92b4a81c0,FullPilot12,perceptual,absolute,absolute,918.5947265625,361.0,148.11157813595992,$\beta_V$,beta_ss,2,308.93537159331163,True,2.6277167914610044e-22,2.6277167914610044e-22
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute-var,absolute-var,688.9595308303833,805.0,107.12527287280878,$\beta_P$,beta_ff,2,226.96276106700935,True,1.0,1.0
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute-var,absolute-var,677.5787773132324,881.0,107.12527287280878,$\beta_V$,beta_ss,2,226.96276106700935,True,1.0,1.0
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute-var,absolute,191.11169363546378,805.0,127.65165365055907,$\beta_P$,beta_ff,2,268.01552262250993,True,1.0952591898293525e-21,1.0952591898293525e-21
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute-var,absolute,402.0443509935212,881.0,127.65165365055907,$\beta_V$,beta_ss,2,268.01552262250993,True,1.0952591898293525e-21,1.0952591898293525e-21
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute,absolute-var,766.2834587097168,861.0,101.09919533076175,$\beta_P$,beta_ff,2,214.91060598291529,True,1.0,1.0
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute,absolute-var,614.1577854156494,991.0,101.09919533076175,$\beta_V$,beta_ss,2,214.91060598291529,True,1.0,1.0
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute,absolute,669.522787246723,861.0,120.85019121876776,$\beta_P$,beta_ff,2,254.41259775892732,True,5.1884824903728955e-21,5.1884824903728955e-21
63626fe174f7db263a4aa8f2,FullPilot12,random,absolute,absolute,778.5170368495046,991.0,120.85019121876776,$\beta_V$,beta_ss,2,254.41259775892732,True,5.1884824903728955e-21,5.1884824903728955e-21
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute-var,absolute-var,794.7888793945312,600.0,107.30739001797618,$\beta_P$,beta_ff,2,227.32699535734415,True,1.0,1.0
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute-var,absolute-var,237.4036865234375,297.0,107.30739001797618,$\beta_V$,beta_ss,2,227.32699535734415,True,1.0,1.0
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute-var,absolute,958.06640625,600.0,132.201339670218,$\beta_P$,beta_ff,2,277.1148946618278,True,1.7615492213894057e-25,1.7615492213894057e-25
