"prolificID","session","t","block","choice","outcome","cfoutcome","choseLeft","op1IsLeft","moveTime","fireTime","leftCount","rightCount","ev1","ev2","p1","p2","missedTrial","score","datetime"
"test","3","2","0","2","19","55","0","0","740","1204","1","0","62","38","0.354344","0.231475","0","79","2023-12-15 18:09:29"
"test","3","3","1","1","59","48","0","0","339","828","0","1","72","28","0.549834","0.354344","0","138","2023-12-15 18:09:34"
"test","3","0","0","0","0","0","0","1","3819","3819","0","0","62","38","0.354344","0.231475","1","0","2023-12-19 15:10:36"
"test","3","0","0","0","0","0","0","0","720","3824","5","5","62","38","0.549834","0.880797","1","0","2023-12-19 15:12:21"
"test","3","0","0","0","0","0","0","1","39","3806","6","7","62","38","0.450166","0.549834","1","0","2023-12-19 15:19:48"
"test","3","0","0","0","0","0","0","0","3807","3807","1","2","62","38","0.119203","0.768525","1","0","2023-12-19 15:30:40"
"test","3","0","1","2","66","70","0","0","1311","247","5","4","72","28","0.549834","0.354344","0","66","2023-12-19 15:32:29"
"test","3","1","1","1","77","46","0","1","420","735","1","0","72","28","0.832018","0.549834","0","143","2023-12-19 15:32:33"
"test","3","0","1","2","43","81","0","0","559","871","1","0","72","28","0.832018","0.167982","0","43","2023-12-19 15:32:54"
"test","3","1","0","2","48","63","0","1","19","683","0","1","62","38","0.231475","0.645656","0","91","2023-12-19 15:32:58"
"test","1","0","-1","1","0","0","0","1","20","1136","3","6","50","50","0.231475","0.231475","0","0","2023-12-19 15:33:46"
"test","1","1","-1","2","0","0","0","1","459","676","0","1","50","50","0.549834","0.880797","0","0","2023-12-19 15:33:50"
"test","1","2","-1","2","0","0","0","0","919","1227","1","0","50","50","0.119203","0.119203","0","0","2023-12-19 15:33:55"
"test","1","3","-1","1","0","0","0","1","860","1224","1","1","50","50","0.167982","0.450166","0","0","2023-12-19 15:34:00"
"test","1","4","-1","1","0","0","0","1","740","900","1","0","50","50","0.450166","0.354344","0","0","2023-12-19 15:34:05"
"test","1","0","-1","2","0","0","0","0","339","890","6","6","50","50","0.354344","0.354344","0","0","2023-12-19 15:35:01"
"test","1","1","-1","2","0","0","0","0","279","506","1","0","50","50","0.354344","0.880797","0","0","2023-12-19 15:35:05"
"test","1","2","-1","2","0","0","0","0","939","1358","1","0","50","50","0.119203","0.645656","0","0","2023-12-19 15:35:11"
"test","1","3","-1","2","0","0","0","0","360","554","1","0","50","50","0.119203","0.231475","0","0","2023-12-19 15:35:15"
"test","1","0","-1","1","0","0","0","1","99","337","5","5","50","50","0.119203","0.450166","1","0","2023-12-19 15:51:10"
"test","1","1","-1","2","0","0","0","1","60","739","1","1","50","50","0.231475","0.549834","0","0","2023-12-19 15:51:14"
"test","1","2","-1","1","0","0","0","0","320","566","0","1","50","50","0.880797","0.354344","0","0","2023-12-19 15:51:19"
"test","1","3","-1","2","0","0","0","0","20","303","1","1","50","50","0.549834","0.880797","0","0","2023-12-19 15:51:23"
"test","1","4","-1","2","0","0","0","1","460","1119","1","2","50","50","0.450166","0.354344","0","0","2023-12-19 15:51:28"
"test","2","0","1","1","74","30","0","1","459","843","1","0","72","28","0.450166","0.354344","0","74","2023-12-19 15:51:33"
"test","1","0","-1","2","0","0","0","1","39","164","3","4","50","50","0.354344","0.880797","0","0","2023-12-19 15:52:18"
"test","2","0","0","2","10","52","0","1","1019","2369","0","1","62","38","0.354344","0.880797","0","10","2023-12-19 15:52:24"
"test","2","1","1","2","2","62","0","1","2239","2445","0","1","72","28","0.354344","0.880797","0","12","2023-12-19 15:52:30"
"test","3","0","0","2","10","52","0","0","520","1141","2","1","62","38","0.645656","0.645656","0","12","2023-12-19 15:52:35"
"test","3","1","1","1","62","2","0","1","180","345","1","0","72","28","0.768525","0.645656","1","12","2023-12-19 15:52:39"
"test","1","0","-1","2","0","0","0","0","440","554","5","6","50","50","0.645656","0.880797","0","0","2023-12-19 16:02:11"
"test","2","0","1","2","39","49","0","0","519","686","1","0","72","28","0.645656","0.880797","0","39","2023-12-19 16:02:15"
"test","2","1","0","2","39","74","0","0","2099","2214","1","0","62","38","0.645656","0.880797","0","78","2023-12-19 16:02:22"
"test","3","0","1","2","39","49","0","0","1399","1542","1","0","72","28","0.119203","0.354344","0","117","2023-12-19 16:02:27"
"test","3","1","0","1","74","39","0","1","740","1614","1","0","62","38","0.880797","0.880797","0","191","2023-12-19 16:02:33"
"test","1","0","-1","1","0","0","0","0","1720","1977","4","4","50","50","0.832018","0.231475","0","0","2023-12-19 16:04:14"
"test","2","0","1","1","82","14","0","1","559","697","1","0","72","28","0.832018","0.231475","0","82","2023-12-19 16:04:18"
"test","2","1","0","1","39","27","0","1","880","1077","1","0","62","38","0.832018","0.231475","0","121","2023-12-19 16:04:23"
"test","3","0","1","1","82","14","0","0","1560","1685","0","1","72","28","0.832018","0.645656","0","203","2023-12-19 16:04:29"
"test","3","1","0","2","27","39","0","0","1079","1221","1","0","62","38","0.450166","0.354344","0","230","2023-12-19 16:04:34"
"test","1","0","-1","1","0","0","0","1","19","410","3","3","50","50","0.167982","0.119203","0","0","2023-12-19 16:05:28"
"test","2","0","0","2","38","35","0","0","679","834","1","0","62","38","0.167982","0.119203","0","38","2023-12-19 16:05:33"
"test","2","1","1","1","64","28","0","1","100","1798","1","0","72","28","0.167982","0.119203","0","102","2023-12-19 16:05:39"
"random-6345658488","1","0","-1","1","0","0","0","0","199","333","3","3","50","50","0.768525","0.231475","0","0","2023-12-22 11:09:09"
"random-6345658488","1","1","-1","2","0","0","0","0","16","400","1","0","50","50","0.450166","0.880797","0","0","2023-12-22 11:09:14"
"random-9375274625","1","0","-1","2","0","0","0","1","2317","1582","5","6","50","50","0.354344","0.645656","0","0","2023-12-22 11:11:07"
"random-9375274625","1","1","-1","2","0","0","0","0","16","1183","1","0","50","50","0.768525","0.354344","0","0","2023-12-22 11:11:11"
"random-9375274625","2","0","1","2","21","55","0","1","16","1999","0","1","72","28","0.768525","0.354344","1","21","2023-12-22 11:11:17"
"random-9375274625","2","1","0","1","57","18","0","1","1167","1866","1","0","62","38","0.768525","0.354344","0","78","2023-12-22 11:11:22"
"random-9375274625","3","0","1","1","55","21","0","0","516","1816","0","1","72","28","0.167982","0.354344","0","78","2023-12-22 11:11:28"
"random-9375274625","3","1","0","1","57","18","0","1","433","1166","1","0","62","38","0.354344","0.549834","0","78","2023-12-22 11:11:33"
"random-7422287633","1","0","-1","1","0","0","0","0","333","1067","2","3","50","50","0.549834","0.354344","0","0","2023-12-27 09:41:08"
"random-2959735844","1","0","-1","0","0","0","0","0","3816","3816","0","0","50","50","0.768525","0.450166","1","0","2023-12-27 12:07:56"
"random-2959735844","1","1","-1","2","0","0","0","0","2017","2633","1","1","50","50","0.119203","0.450166","0","0","2023-12-27 12:08:03"
"random-2959735844","2","0","1","2","0","0","0","1","12715","12715","0","0","72","28","0.119203","0.450166","1","0","2023-12-27 12:08:25"
"random-2959735844","2","1","0","1","53","43","0","1","1320","2267","1","3","62","38","0.119203","0.450166","0","53","2023-12-27 12:08:35"
"random-290997149","1","0","-1","2","0","0","0","1","1166","1399","2","5","50","50","0.768525","0.880797","1","0","2023-12-28 15:53:40"
"random-290997149","1","1","-1","1","0","0","0","1","1134","1283","1","0","50","50","0.119203","0.354344","0","0","2023-12-28 15:53:45"
"random-290997149","2","0","1","1","52","2","0","0","1200","1417","0","1","72","28","0.119203","0.354344","1","52","2023-12-28 15:53:50"
"random-290997149","2","1","0","2","29","37","0","1","750","2267","1","1","62","38","0.119203","0.354344","0","81","2023-12-28 15:53:56"
"random-290997149","3","0","1","1","52","2","0","1","833","1049","1","0","72","28","0.167982","0.231475","0","81","2023-12-28 15:54:01"
"random-290997149","3","1","0","2","29","37","0","0","17","1549","1","0","62","38","0.832018","0.167982","0","110","2023-12-28 15:54:06"
"testing","1","0","-1","1","0","0","0","0","500","733","3","2","50","50","0.880797","0.645656","0","0","2024-01-04 17:29:43"
"testing","1","1","-1","2","0","0","0","0","67","433","1","0","50","50","0.450166","0.167982","0","0","2024-01-04 17:29:47"
"testing","1","0","-1","1","0","0","0","1","1303","1810","2","1","50","50","0.354344","0.768525","0","0","2024-01-07 15:16:56"
"testing","1","1","-1","1","0","0","0","1","281","2201","2","1","50","50","0.880797","0.645656","0","0","2024-01-07 15:17:02"
"testing","2","0","1","2","60","68","0","0","1950","2572","1","0","72","28","0.880797","0.645656","0","60","2024-01-07 15:17:09"
"testing","2","1","0","1","35","33","0","1","1335","2297","1","0","62","38","0.880797","0.645656","0","95","2024-01-07 15:17:15"
"testing","3","0","1","2","60","68","0","0","1628","2120","1","0","72","28","0.167982","0.832018","0","155","2024-01-07 15:17:21"
"testing","3","1","0","1","35","33","0","0","674","1758","0","1","62","38","0.768525","0.768525","0","190","2024-01-07 15:17:26"
"testing","1","0","-1","0","0","0","0","0","12107","12107","2","1","50","50","0.880797","0.450166","1","0","2024-01-08 10:10:38"
"testing","1","1","-1","0","0","0","0","1","12982","12982","0","0","50","50","0.167982","0.645656","1","0","2024-01-08 10:11:02"
"testing","2","0","1","0","0","0","0","0","11109","11109","0","0","72","28","0.167982","0.645656","1","0","2024-01-08 10:11:25"
"testing","2","1","0","0","0","0","0","1","11826","11826","0","0","62","38","0.167982","0.645656","1","0","2024-01-08 10:11:48"
"testing","3","0","1","0","0","0","0","1","12127","12127","0","0","72","28","0.450166","0.549834","1","0","2024-01-08 10:12:12"
"testing","3","1","0","0","0","0","0","1","12096","12096","0","0","62","38","0.645656","0.549834","1","0","2024-01-08 10:12:35"
"test","1","0","-1","2","0","0","0","0","19","659","2","1","50","50","0.354344","0.231475","0","0","2024-01-09 13:06:14"
"test","1","0","-1","2","0","0","0","1","59","446","0","1","50","50","0.231475","0.167982","0","0","2024-01-09 13:07:37"
"test","1","0","-1","2","0","0","0","0","119","655","1","0","50","50","0.354344","0.768525","0","0","2024-01-09 13:12:17"
"test","1","1","-1","1","0","0","0","1","19","491","1","1","50","50","0.450166","0.832018","0","0","2024-01-09 13:12:21"
"test","1","0","-1","1","0","0","0","0","40","552","1","1","50","50","0.880797","0.549834","0","0","2024-01-09 13:12:38"
"test","1","1","-1","1","0","0","0","1","259","449","1","0","50","50","0.354344","0.354344","0","0","2024-01-09 13:12:42"
"test","1","0","-1","1","0","0","0","1","119","392","1","0","50","50","0.167982","0.231475","1","0","2024-01-09 13:12:58"
"test","1","0","-1","1","0","0","0","0","101","1155","1","1","50","50","0.549834","0.768525","0","0","2024-01-09 13:13:25"
"test","1","1","-1","2","0","0","0","0","19","855","1","0","50","50","0.167982","0.119203","0","0","2024-01-09 13:13:30"
"test","1","0","-1","1","0","0","0","1","99","294","1","0","50","50","0.354344","0.768525","1","0","2024-01-09 13:13:43"
"test","3","0","1","1","66","40","0","0","1059","1380","0","1","72","28","0.768525","0.880797","0","66","2024-01-09 13:14:54"
