"prolificID","expName","session","t","pair","choice","outcome1","outcome2","choseLeft","op1IsLeft","moveTime","fireTime","leftCount","rightCount","ev1","ev2","p1","p2","m1","m2","name1","name2","destroyed","score","datetime"
"6543f7e306c0fc611aafc81d",,"1","24","1","2","5","5","0","1","448","649","0","1","1","4","0.12","0.71","0","0",,,"1","85","2024-02-07 15:42:03"
"6543f7e306c0fc611aafc81d",,"1","25","11","2","5","5","1","0","581","864","1","0","2","2","0.37","0.45","0","0",,,"1","90","2024-02-07 15:42:05"
"6543f7e306c0fc611aafc81d",,"1","26","1","2","5","5","1","0","482","665","1","0","1","4","0.12","0.71","0","0",,,"0","90","2024-02-07 15:42:07"
"6543f7e306c0fc611aafc81d",,"1","27","12","2","5","5","0","1","515","666","0","1","3","4","0.55","0.88","0","0",,,"1","95","2024-02-07 15:42:10"
"6543f7e306c0fc611aafc81d",,"1","28","10","2","5","5","0","1","465","632","0","1","2","3","0.37","0.63","0","0",,,"1","100","2024-02-07 15:42:12"
"6543f7e306c0fc611aafc81d",,"1","29","15","2","5","5","1","0","765","915","1","0","4","4","0.78","0.88","0","0",,,"1","105","2024-02-07 15:42:14"
"6543f7e306c0fc611aafc81d",,"1","30","0","2","5","5","0","1","465","632","0","1","1","4","0.12","0.88","0","0",,,"1","110","2024-02-07 15:42:16"
"6543f7e306c0fc611aafc81d",,"1","31","7","2","5","5","0","1","1281","1448","0","1","1","4","0.29","0.88","0","0",,,"1","115","2024-02-07 15:42:19"
"6543f7e306c0fc611aafc81d",,"1","32","6","2","5","5","0","1","748","949","0","1","1","2","0.22","0.37","0","0",,,"1","120","2024-02-07 15:42:22"
"6543f7e306c0fc611aafc81d",,"1","33","15","2","5","5","1","0","882","1165","1","0","4","4","0.78","0.88","0","0",,,"1","125","2024-02-07 15:42:24"
"6543f7e306c0fc611aafc81d",,"1","34","9","2","5","5","0","1","565","749","0","1","2","4","0.37","0.84","0","0",,,"1","130","2024-02-07 15:42:27"
