agent,expName,model,0
62b4ef82055cec7135502ada,FullPilot12,independent,3
62b4ef82055cec7135502ada,FullPilot12,log-ratio,3
62b4ef82055cec7135502ada,FullPilot12,single,3
62b9e995fd8c321a2f65a6cd,FullPilot14,independent,3
62b9e995fd8c321a2f65a6cd,FullPilot14,log-ratio,3
62b9e995fd8c321a2f65a6cd,FullPilot14,single,3
63197f9b80d9c0d22597a837,FullPilot13,independent,3
63197f9b80d9c0d22597a837,FullPilot13,log-ratio,3
63197f9b80d9c0d22597a837,FullPilot13,single,3
63254db937c17e8e9200fd54,FullPilot13,independent,3
63254db937c17e8e9200fd54,FullPilot13,log-ratio,3
63254db937c17e8e9200fd54,FullPilot13,single,3
632fc453431e3369da22be81,FullPilot12,independent,3
632fc453431e3369da22be81,FullPilot12,log-ratio,3
632fc453431e3369da22be81,FullPilot12,single,3
63626fe174f7db263a4aa8f2,FullPilot12,independent,3
63626fe174f7db263a4aa8f2,FullPilot12,log-ratio,3
63626fe174f7db263a4aa8f2,FullPilot12,single,3
636590165e6fcc3e84ee2b6d,FullPilot12,independent,3
636590165e6fcc3e84ee2b6d,FullPilot12,log-ratio,3
636590165e6fcc3e84ee2b6d,FullPilot12,single,3
63ae2788c3e5ec6d1cfcad16,FullPilot14,independent,3
63ae2788c3e5ec6d1cfcad16,FullPilot14,log-ratio,3
63ae2788c3e5ec6d1cfcad16,FullPilot14,single,3
63b18d94775ad4aad221103c,FullPilot13,independent,3
63b18d94775ad4aad221103c,FullPilot13,log-ratio,3
63b18d94775ad4aad221103c,FullPilot13,single,3
63c3164c08ff110d63b44dc6,FullPilot14,independent,3
63c3164c08ff110d63b44dc6,FullPilot14,log-ratio,3
63c3164c08ff110d63b44dc6,FullPilot14,single,3
63e40d7b1a88578e3c993478,FullPilot14,independent,3
63e40d7b1a88578e3c993478,FullPilot14,log-ratio,3
63e40d7b1a88578e3c993478,FullPilot14,single,3
645d518949b0639658176654,FullPilot14,independent,3
645d518949b0639658176654,FullPilot14,log-ratio,3
645d518949b0639658176654,FullPilot14,single,3
64db80772c860983ea3a7310,FullPilot12,independent,3
64db80772c860983ea3a7310,FullPilot12,log-ratio,3
64db80772c860983ea3a7310,FullPilot12,single,3
650dcec4d9e0685d5035c13e,FullPilot13,independent,3
650dcec4d9e0685d5035c13e,FullPilot13,log-ratio,3
650dcec4d9e0685d5035c13e,FullPilot13,single,3
651b075a8bfaebfd2f74e195,FullPilot14,independent,3
651b075a8bfaebfd2f74e195,FullPilot14,log-ratio,3
651b075a8bfaebfd2f74e195,FullPilot14,single,3
655f7e55e36be4f00b49aa5e,FullPilot13,independent,3
655f7e55e36be4f00b49aa5e,FullPilot13,log-ratio,3
655f7e55e36be4f00b49aa5e,FullPilot13,single,3
657b6239aa8091bfa2b24ae0,FullPilot12,independent,3
657b6239aa8091bfa2b24ae0,FullPilot12,log-ratio,3
657b6239aa8091bfa2b24ae0,FullPilot12,single,3
65c140b80efce0ed096216e3,FullPilot13,independent,3
65c140b80efce0ed096216e3,FullPilot13,log-ratio,3
65c140b80efce0ed096216e3,FullPilot13,single,3
65c23e2e1a96e23b93afdea0,FullPilot13,independent,3
65c23e2e1a96e23b93afdea0,FullPilot13,log-ratio,3
65c23e2e1a96e23b93afdea0,FullPilot13,single,3
65c69497ab503bf918ddd5b7,FullPilot14,independent,3
65c69497ab503bf918ddd5b7,FullPilot14,log-ratio,3
65c69497ab503bf918ddd5b7,FullPilot14,single,3
65cbb41e2614de61e770c67c,FullPilot14,independent,3
65cbb41e2614de61e770c67c,FullPilot14,log-ratio,3
65cbb41e2614de61e770c67c,FullPilot14,single,3
65d54b3b524fcafb543d1b23,FullPilot13,independent,3
65d54b3b524fcafb543d1b23,FullPilot13,log-ratio,3
65d54b3b524fcafb543d1b23,FullPilot13,single,3
65e0ef2a74037d1530a40cca,FullPilot12,independent,3
65e0ef2a74037d1530a40cca,FullPilot12,log-ratio,3
65e0ef2a74037d1530a40cca,FullPilot12,single,3
65e20689e9a511366b03cc13,FullPilot13,independent,3
65e20689e9a511366b03cc13,FullPilot13,log-ratio,3
65e20689e9a511366b03cc13,FullPilot13,single,3
65fb2b6d968812efd360f8f7,FullPilot13,independent,3
65fb2b6d968812efd360f8f7,FullPilot13,log-ratio,3
65fb2b6d968812efd360f8f7,FullPilot13,single,3
66074f7cb655db9adfae591b,FullPilot13,independent,3
66074f7cb655db9adfae591b,FullPilot13,log-ratio,3
66074f7cb655db9adfae591b,FullPilot13,single,3
6609e31201eebc9f6a2de74b,FullPilot13,independent,3
6609e31201eebc9f6a2de74b,FullPilot13,log-ratio,3
6609e31201eebc9f6a2de74b,FullPilot13,single,3
660c9c26e4220931438f3d30,FullPilot12,independent,3
660c9c26e4220931438f3d30,FullPilot12,log-ratio,3
660c9c26e4220931438f3d30,FullPilot12,single,3
660d619f39d061875f78ac8c,FullPilot12,independent,3
660d619f39d061875f78ac8c,FullPilot12,log-ratio,3
660d619f39d061875f78ac8c,FullPilot12,single,3
660ea6b5ee7b4979153dc5b8,FullPilot13,independent,3
660ea6b5ee7b4979153dc5b8,FullPilot13,log-ratio,3
660ea6b5ee7b4979153dc5b8,FullPilot13,single,3
661571d6cc16ee34676734df,FullPilot13,independent,3
661571d6cc16ee34676734df,FullPilot13,log-ratio,3
661571d6cc16ee34676734df,FullPilot13,single,3
66182d2b06cbee83d298b517,FullPilot12,independent,3
66182d2b06cbee83d298b517,FullPilot12,log-ratio,3
66182d2b06cbee83d298b517,FullPilot12,single,3
662942b6455e11154cbb3ce0,FullPilot14,independent,3
662942b6455e11154cbb3ce0,FullPilot14,log-ratio,3
662942b6455e11154cbb3ce0,FullPilot14,single,3
663784abc88d62265def75ea,FullPilot12,independent,3
663784abc88d62265def75ea,FullPilot12,log-ratio,3
663784abc88d62265def75ea,FullPilot12,single,3
6637f4d0a76556e2a39063f4,FullPilot13,independent,3
6637f4d0a76556e2a39063f4,FullPilot13,log-ratio,3
6637f4d0a76556e2a39063f4,FullPilot13,single,3
663a623d4ea504f754d08b02,FullPilot12,independent,3
663a623d4ea504f754d08b02,FullPilot12,log-ratio,3
663a623d4ea504f754d08b02,FullPilot12,single,3
663eea8e72f4269ddd149eba,FullPilot12,independent,3
663eea8e72f4269ddd149eba,FullPilot12,log-ratio,3
663eea8e72f4269ddd149eba,FullPilot12,single,3
664218e510e790cd8414d32c,FullPilot13,independent,3
664218e510e790cd8414d32c,FullPilot13,log-ratio,3
664218e510e790cd8414d32c,FullPilot13,single,3
