agent,model,trial,session,ll,param_0,param_1
5484d361fdf99b0379939d5b,absolute,71,1,0.11626444583141904,1.0000482327790565,1.0000084184276845
5484d361fdf99b0379939d5b,absolute,72,1,-1.508495464931265,1.0000482327790565,1.0000084184276845
5484d361fdf99b0379939d5b,absolute,73,1,-0.7077603725472557,1.0000466990385786,1.0000059323893251
5484d361fdf99b0379939d5b,absolute,74,1,-0.6718401132630802,1.0000441128346853,0.9999950978998032
5484d361fdf99b0379939d5b,absolute,75,1,-0.4741185736822331,1.0000441128346853,0.9999950978998032
5484d361fdf99b0379939d5b,absolute,76,1,-2.1204591114985902,1.0000527938018364,1.0000037040540426
5484d361fdf99b0379939d5b,absolute,77,1,0.08343647348629446,1.0000527934250485,1.0000040804452264
5484d361fdf99b0379939d5b,absolute,78,1,-0.8695220086777482,1.0000527934250485,1.0000040804452264
5484d361fdf99b0379939d5b,absolute,79,1,-0.45396731352166597,1.0000527934250485,1.0000040804452264
5484d361fdf99b0379939d5b,absolute,80,1,-0.6683406082632644,1.0000527934250485,1.0000040804452264
5484d361fdf99b0379939d5b,absolute,81,1,0.20528903151716804,1.0000527934250485,1.0000040804452264
5484d361fdf99b0379939d5b,absolute,82,1,-0.5578806809237378,1.0000527931072765,1.0000043978827897
5484d361fdf99b0379939d5b,absolute,83,1,-0.5182879528197404,1.000052788523925,1.0000089764092757
5484d361fdf99b0379939d5b,absolute,84,1,-1.4599439944903736,1.0000849586020013,1.0000411464887629
5484d361fdf99b0379939d5b,absolute,85,1,-1.7064182403582961,1.000090404231695,1.000047448679736
5484d361fdf99b0379939d5b,absolute,86,1,-0.3162174658921302,1.000090404231695,1.000047448679736
5484d361fdf99b0379939d5b,absolute,87,1,-0.10635136722394378,1.000090404231695,1.000047448679736
5484d361fdf99b0379939d5b,absolute,88,1,-0.7016414446220196,1.000092583118961,1.0000513597860339
5484d361fdf99b0379939d5b,absolute,89,1,-0.6299967739282621,1.000092583118961,1.0000513597860339
5484d361fdf99b0379939d5b,absolute,90,1,-0.5307952314773416,1.0000925851750258,1.0000514027729381
5484d361fdf99b0379939d5b,absolute,91,1,-0.26448887248977826,1.000091522437935,1.000050201081977
5484d361fdf99b0379939d5b,absolute,92,1,-0.048826815010542646,1.0001002502172032,1.0000589288616062
5484d361fdf99b0379939d5b,absolute,93,1,-0.7373628314544334,1.0001002502172032,1.0000589288616062
5484d361fdf99b0379939d5b,absolute,94,1,-1.4632053913514085,1.0001268508895684,1.0000589022327346
5484d361fdf99b0379939d5b,absolute,95,2,0.13316347025653386,1.000136511140441,1.0000588925622431
5484d361fdf99b0379939d5b,absolute,96,2,-0.4464517013439604,1.0001359603219273,1.0000583417864772
5484d361fdf99b0379939d5b,absolute,97,2,-0.9756851939882125,1.0001359603219273,1.0000583417864772
5484d361fdf99b0379939d5b,absolute,98,2,-0.9269162236964377,1.0001374821069322,1.0000599686176177
5484d361fdf99b0379939d5b,absolute,99,2,-0.2116562192144542,1.0001374821069322,1.0000599686176177
5484d361fdf99b0379939d5b,absolute,100,2,0.4782381665328401,1.0001372137862063,1.000059650176327
5484d361fdf99b0379939d5b,absolute,101,2,0.5738899132942024,1.0001372137862063,1.000059650176327
5484d361fdf99b0379939d5b,absolute,102,2,-0.5057796630572255,1.000139108978004,1.0000618407403763
5484d361fdf99b0379939d5b,absolute,103,2,0.44765494535737105,1.0001402334811602,1.0000629430026422
5484d361fdf99b0379939d5b,absolute,104,2,0.44794025823807715,1.000143509853647,1.0000636532906308
5484d361fdf99b0379939d5b,absolute,105,2,-0.4888386216365035,1.000143509853647,1.0000636532906308
5484d361fdf99b0379939d5b,absolute,106,2,-0.94291996427404,1.000143509853647,1.0000636532906308
5484d361fdf99b0379939d5b,absolute,107,2,-1.8095218196153837,1.000113318203245,1.0000653580101273
5484d361fdf99b0379939d5b,absolute,108,2,-1.0556846530862032,1.0001133179954784,1.0000653578023708
5484d361fdf99b0379939d5b,absolute,109,2,0.35489248921804517,1.0001133179954784,1.0000653578023708
5484d361fdf99b0379939d5b,absolute,110,2,0.5394673950226689,1.000113312340461,1.000071006859737
5484d361fdf99b0379939d5b,absolute,111,2,-0.4616155136016715,1.000113312340461,1.000071006859737
5484d361fdf99b0379939d5b,absolute,112,2,-0.0025785610533404224,1.000113312340461,1.000071006859737
5484d361fdf99b0379939d5b,absolute,113,2,0.34050692298369256,1.0001165446115847,1.0000740346571528
5484d361fdf99b0379939d5b,absolute,114,2,0.11210393222408754,1.0001165446115847,1.0000740346571528
5484d361fdf99b0379939d5b,absolute,115,2,-2.189034610106475,1.0001207208054375,1.0000780475859556
5484d361fdf99b0379939d5b,absolute,116,2,-0.9290891030527177,1.0001207634035678,1.0000780901840878
5484d361fdf99b0379939d5b,absolute,117,2,0.08091292778222225,1.000119891340998,1.0000805838523088
5484d361fdf99b0379939d5b,absolute,118,2,-1.5604408894780306,1.0001346550834727,1.0000778595323854
5484d361fdf99b0379939d5b,absolute,119,2,-0.028477357183462004,1.0001340790572404,1.0000772835388645
